citation_id,source_paragraph,baseline_relevant,baseline_reject,baseline_paper,hyde_t07_relevant,hyde_t07_reject,hyde_t07_paper,hyde_single_relevant,hyde_single_reject,hyde_single_paper
34,"classify log events into two categories: normal and anomaly . This is helpful in an online setting, where the number of detected abnormalities in a certain period of time is considerably small. However, in a digital forensic setting, where the detection is performed on all collected artefacts which might be large in size, the number of the abnormalities is likely to be large . Thus, analysing the detection result in a binary setting is impractical for the investigator. Moreover, out of all detected peculiarities, there might be several negligible ones with less severe impacts on the system or less likely to be related to an incident. Extending binary to multiclass anomaly detection can provide more detailed and contextual detection results",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
35,"comparison of the proposed framework, several baselines are constructed, including those that are proposed in published works. This paper proposes a transformer encoder-based log- based anomaly detection optimised using multitask label representation to help the model learn from the overlapped features shared by the samples from different severity levels. A domain-specific decoding procedure is also proposed to infer the prediction result. In-depth analyses are performed to evaluate the proposed framework thoroughly. The main contributions of this paper are summarised as follows: 1) Propose Drone Log Severity (DroLoVe), a severity- oriented multiclass anomaly detection approach on drone flight log data. 2) Propose a data-driven vector representation of the label and a severity-oriented decoding procedure of the VOLUME 12, 2024 64253 S.",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
36,"follows: 1) Propose Drone Log Severity (DroLoVe), a severity- oriented multiclass anomaly detection approach on drone flight log data. 2) Propose a data-driven vector representation of the label and a severity-oriented decoding procedure of the VOLUME 12, 2024 64253 S. Silalahi et al.: Severity-Oriented Multiclass Drone Flight Logs Anomaly Detection FIGURE 2. A word cloud visualisation to see that the samples from different severity levels share common words and phrases. The remainder of the paper is structured as follows: Section II discusses relevant previous studies related to log-based anomaly detection and how to deal with class imbalance problems in log-based anomaly detection task, the proposed framework is explained in detail in Section III, Section IV provides the experimental setup, followed",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Severity-oriented multiclass drone flight logs anomaly detection,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
37,"anomaly detection approach is adopted in this paper. Table 1 presents the summary of the previous related works. B. CLASS IMBALANCE PROBLEM (CIP) IN LOG-BASED ANOMALY DETECTION It is assured that in log-based anomaly detection, the number of anomalous samples is significantly less than the normal ones. Employing a supervised-based technique is prone to bias, as the model tends to learn from the majority samples. To overcome CIP, several studies proposed data-level and algorithm-level solutions . Moreover, in a certain case, there are no anomalous samples available. In this particular situation, a one-class approach can be used to construct a normal baseline model. During the detection, an anomaly score is used to decide if an input event is anomalous based",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
38,"detection approach for drone flight log data. The overall flow of the proposed framework is depicted in Fig 4. The following section describes the approach in more detail. A. OVERVIEW A. OVERVIEW Performing point log-based anomaly detection that takes human-readable log messages as input is similar to conduct- ing sequence or text classification. As mentioned in Section I, this task may be interpreted as a sentiment analysis task that aims to detect negative sentiments within log messages. Taking an n-length log message m = [w1, w2, . . . , wn] from the dataset D = {(mi, ci)}|D| i=1 as the input, where c is the label class name, BERT is used to tokenise the input into a fixed length",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
39,"log message m = [w1, w2, . . . , wn] from the dataset D = {(mi, ci)}|D| i=1 as the input, where c is the label class name, BERT is used to tokenise the input into a fixed length sequence with m maximum length and retrieve the contextual embeddings, resulting in an input matrix X ∈ Rm×dBERT which is then paired with the encoded label y. Thus, the numerical input becomes (X, y). This study aims to train a neural network model Mθ to classify the message m into one of the predefined classes c ∈ C = {high, medium, low, normal}, or can be written as Mθ : m → c. Based on past literature discussed in Section",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
40,"logits z ∈ R|C|, where |C| denotes the number of target class in the dataset. During the training phase, these vectors are used to compute the loss and update the parameter of the model after passing through a normalisation function. For the typical one-hot encoding representation of the label, the standard cross-entropy is used to compute the loss, as defined in the following equation: |C| LCE = − yi · log(ˆyi) i=1 ˆy = softmax(z) exp(zi) ˆyi = Pdim(z) exp(zj) (1) (2) (3) where y and ˆy are the true label vector and the prediction probability distribution, respectively. The prediction proba- bility ˆy is obtained from Eq 2, where each of the element in ˆy is computed using Eq 3.",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
41,"study, one of the artefacts of drone devices, the flight log message, is used as the source of the evidence to perform multiclass anomaly severity detection. These human-readable messages, such as ‘‘Aircraft Core Board Overheated’’ and ‘‘Compass error, calibration required’’, can be found in most DJI-make flight logs in three columns: warning, tip, and message. Originally, the flight log was in encrypted.CSV files . Thus, the drone phantom help2 is needed to decrypt the flight log files and then extract the contents. The 2 FIGURE 6. Proposed vector representation of the label based on the dataset characteristics. is computed based on the frequency distribution of the class in the dataset. In this study, three class weights are explored and used",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
42,"the unfiltered is the actual collection of drone flight log messages gathered from the two sources mentioned previously. The dataset is split into training and testing with an 80:20 ratio. The summary of the per-class distribution in the dataset is presented in Table 2. B. BASELINES B. BASELINES In this study, an extensive experiment with various types of encoders is conducted to construct strong baselines for performance comparison. Ensuring the objectivity of the comparison, the hyperparameters of these baselines are fine-tuned using grid search on a finite search space, as shown in Table 3. The details of the baseline construction are described in the following subsections. 1) BASELINE FROM DIVERSE SUITABLE ENCODERS The distinction between the baseline and the proposed",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
43,"PREVIOUS WORKS Among the relevant published studies in the log-based anomaly detection space, sequence-based is one of the most commonly used approaches. Therefore, there are limited relevant references as this study employs a point-based approach. Below are the relevant baselines from previous research: 1) Pylogsentiment is the first study which employs sentiment analysis-based anomaly detection on operat- ing system logs using GRU and GloVe embedding. 2) SentiLog , similar to , use a two-layered BiLSTM and GloVe embedding model to perform anomaly detection on parallel file system logs. 3) TransSentLog is a further development of and uses a two-layered transformer encoder which used two attention heads and GloVe embedding along with integrated gradients to add explainability to the trained model.",1,0,SentiLog: Anomaly detecting,1,0,SentiLog: Anomaly detecting,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
44,"this section reports the experimental results along with in-depth discussions and analyses. A. BEST PERFORMING SCENARIO A. BEST PERFORMING SCENARIO 1) EVALUATION METRIC After experimenting with all the designed scenarios, the models’ performance is evaluated on the test dataset. The best-performing model from each pair of encoder type and loss function is reported in Table 4 and Table 5 for unfiltered and filtered datasets. Based on the evaluation metrics shown in both tables, the proposed scenario outperforms all baseline scenarios on all encoder types tested on the unfiltered dataset, with an accuracy of 96.875 and an F1 score of 96.851. As for the filtered dataset, the transformer encoder trained on the baseline scenario outperforms the other scenarios on all encoder",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Permuted Temporal Kolmogorov-Arnold Networks for Stock Price Forecasting Using Generative Aspect-Based Sentiment Analysis,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
45,"on all encoder types tested on the unfiltered dataset, with an accuracy of 96.875 and an F1 score of 96.851. As for the filtered dataset, the transformer encoder trained on the baseline scenario outperforms the other scenarios on all encoder types with an accuracy of 83.761 and an F1 score of 82.967. The proposed scenario only performs better on the GRU and LSTM encoders than the baseline scenarios. 2) PREDICTION CONFIDENCE Evaluating the performance of a neural model strongly depends on the task and domain problem. In a particular task, accuracy can be the only important metric. However, in some other domains, having a high accuracy does not suffice. For example, in this study, the model needs to be sure",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
46,"which hyperparameter the accuracy depends on. The dependency can be either increasing or decreasing the accuracy. Nevertheless, it can help choose which hyperparameter to modify in the next experiments. C. COMPARISON WITH STATE-OF-THE-ART MODELS C. COMPARISON WITH STATE-OF-THE-ART MODELS In this study, several baselines from previous studies are reproduced on the dataset to perform performance compar- isons. The reproduced performance from an experimental procedure explained in subsection IV-B2 is presented in Table 6. On both datasets, the proposed scenario outper- forms all the baselines with an improvement of 0.423 and 0.665 in the F1 score on the filtered and unfiltered datasets, respectively. Considering that Pylogsentiment used a GRU-based encoder and SentiLog used an LSTM-based the proposed scenarios on these two",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
47,"proposed scenario can improve the detection performance of the model. D. ABLATION STUDY D. ABLATION STUDY Following the rapid advancement in neural network research, more complex and sophisticated architectures are emerging. A model can consist of layers of components that have a specific role in the learning process. After conducting an experiment on a certain dataset and task, verifying and checking which component in the model contributes posi- tively to the performance is crucial. Therefore, we perform an ablation study to explain which part of the proposed approach has a significant impact on the performance. Note that only the best-performing scenario on each dataset is explored. First, we investigate the significance of the CLS token from the BERT embedding. Secondly,",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Recognizing Textual Entailment in Indonesian Using Individual Biplet Head-Dependent and Multi-Head Attention Mechanism
48,"to explain which part of the proposed approach has a significant impact on the performance. Note that only the best-performing scenario on each dataset is explored. First, we investigate the significance of the CLS token from the BERT embedding. Secondly, we analyse the impact of freezing the BERT’s parameter during training. Thirdly, we vary the batch size during the training. Finally, FIGURE 11. Analysis of the effect of different batch sizes on the evaluation scores of the best-performing models. we examine the effect of increasing the prediction threshold used in our proposed approach on the accuracy and F1 scores. As shown in Table 6, excluding the CLS token embedding before feeding the input matrix to the encoder significantly decreases performance.",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
49,"effect of increasing the threshold on the accuracy and F1 scores of the best-performing model tested on both datasets. An interesting case is shown in Fig 12a when λ = 0.65, the accuracy reaches 97%, exceeding the best model’s accuracy when λ = 0.5. This happens when the prediction confidence score surpasses the threshold while the true label’s severity is lower than the prediction label’s. Thus, following the decoding procedure in section III-C, the predicted label is incorrect. This phenomenon also happens on the filtered dataset when λ > 0.94. Overall, the decrement in the accuracy and F1 scores is insignificant until λ = 0.9 and λ = 0.8 on the unfiltered and filtered datasets, respectively. Thus, it confirms the",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2,1,0,Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2
50,"each scenario. FIGURE 14. The number of misclassified samples from the best-performing model on each loss function tested on the unfiltered dataset. In a binary setting, let the Normal class be positive and the Anomaly is negative. Then, False Positive (FP) refers to samples with a true label negative but predicted as positive. At the same time, a False Negative (FN) is a case when a sample belongs to a positive class but is predicted as negative. However, in this study, we define the misclassification cases differently: • False Positive refers to a case when the true class is higher than the predicted class. • False Negative is a misclassification case where the true class is lower than the predicted",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
51,"study, we define the misclassification cases differently: • False Positive refers to a case when the true class is higher than the predicted class. • False Negative is a misclassification case where the true class is lower than the predicted class. Table 7 shows the position of FP and FN based on the above definition in a multiclass confusion matrix. VOLUME 12, 2024 64263 S. Silalahi et al.: Severity-Oriented Multiclass Drone Flight Logs Anomaly Detection FIGURE 15. A 2D visualisation of the filtered dataset representation obtained from the best model from each loss function tested on the filtered dataset. t-SNE is used to reduce the dimension of the embeddings. In an anomaly detection setting, FP is more important than FN",1,0,Severity-oriented multiclass drone flight logs anomaly detection,1,0,Severity-oriented multiclass drone flight logs anomaly detection,1,0,Severity-oriented multiclass drone flight logs anomaly detection
52,"the performance of the proposed framework has been discussed and analysed. In this section, challenges encountered during the study are disclosed, along with limitations and threats to validity. As drone forensics is an emerging topic, there are very limited public datasets available. The log messages used in this study are mainly acquired from DJI-made devices. There is yet to come a publicly available dataset of log messages from other drone manufacturers. Several publicly available datasets are mainly about sensor data and multimedia artefacts . While in this study, we solely depend on the human-readable messages generated by the drone during a flight. Given the condition where a small number of unique messages and most of them are acquired from DJI",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
53,"the model can be convincing and accountable enough to the investigator to be included in the investigation report. VII. CONCLUSION AND FUTURE WORK VII. CONCLUSION AND FUTURE WORK In this paper, we demonstrate how to train a log-based anomaly detection model that can prioritise the prediction of higher severity anomalies on drone flight logs while increasing the prediction confidence score at the same time. Considering the nature of the dataset, where samples that belong to different severity levels share common features, a multitask vector label representation along with severity-oriented decoding is proposed. An extensive experiment proved that the proposed approach is better than the previous work baselines while being inferior to our baseline scenario based on the accuracy and F1",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
54,"ANALYSIS We conducted a controlled experiment to evaluate the influence of various word embedding methods on our model’s performance. We used different word embedding techniques, explicitly using fastText as an alternative method to provide comparative performance data for the architecture with different word embedding inputs. This experiment used 540k sentence pairs and maintained the same settings as the previous experiments. This experi- ment compared the results obtained in a previous experiment using the Glove word embedding technique. The performance comparison of the model using different word embedding techniques is shown in Table 4. As seen in 4, our model performs better with Glove word embedding than FastText. Glove’s advantages align with the findings of , which state that the Glove",1,0,Sarcasm Detection in Indonesian-English Code-Mixed Text Using Multihead Attention-Based Convolutional and Bi-Directional GRU,1,0,Transformer-Based Named Entity Recognition on Drone Flight Logs to Support Forensic Investigation,1,0,Transformer-Based Named Entity Recognition on Drone Flight Logs to Support Forensic Investigation
55,"research introduces a novel Activity Recom- mendation System built on the COBIT 2019 framework tailored for Financial Balance Scorecard. The motivation stems from the challenges faced by auditors when identifying essential activities aligned with strategy of a company, often hindered by manual COBIT 2019 guideline navigation. To address this, a system was developed, where inputting the company strategy, triggers the display of recommended activities automatically. The methodology involved creating interconnected nodes from COBIT 2019 Element in Neo4J. This research uses a real strategy plan case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using TF-IDF and cosine similarity. Goals with high similarity scores trigger a graph query to reveal connected",1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods
56,"management are vital for businesses in rapidly evolving landscape nowadays. Imple- menting an IT governance framework is crucial for several reasons. Firstly, it enables effective risk management against cyber threats, data breaches, and regulatory requirements, enhancing resilience and protecting sensitive data. Secondly, it ensures alignment between IT strategies and business ob- jectives, driving efficiency, innovation, and competitiveness. Lastly, it facilitates compliance with data privacy regulations and industry standards, ensuring transparency and accountabil- ity. Among these frameworks, COBIT is globally recognized for overseeing Enterprise Information and Technology (I&T) comprehensively, covering all systems regardless of their lo- cation within the organization. In essence, Enterprise I&T extends beyond the confines of the IT department and encompasses all facets of technology and information processing",1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods
57,"COBIT Core Model and Capability Scores, it is necessary to undergo a mapping process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor should auditing multiple companies simultaneously. This research aim to simplify the process to get Activities of COBIT 2019 automatically from Input Text Company Strategy that aligned with the description of related Enterprise Goals. This research adopts Neo4j, a graph database platform, to manage KG and process data related to these objectives, to gain deeper and more applicable insights into the relationships between strategic and operational objectives in a company . Furthermore, this research also involves the function of preprocessing the input text in the form of Company Strat- egy using",1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods
58,"in business process modeling. Using real- life data and public datasets, the research compared GPD++ to traditional methods like Inductive Miner (IM) and Split Miner (SM). Results showed that GPD++ effectively addressed ICRs and detected hierarchical blocks. The paper introduces the Invisible-Task Prime and Non-Prime ITPNP algorithm for mining invisible tasks in process models, focusing on XOR and AND/OR relationships. It detects invisible non-prime tasks in hybrid parallel rela- tionships. Tested on seven models, it outperformed traditional methods, achieving high fitness and precision, especially in complex scenarios. Research by introduces an improved method for detect- ing parallel process models in graph-based process discovery. By establishing relationship frequencies and using specific algorithms, the method accurately distinguishes XOR, AND, and OR relationships.",1,0,Extending Graph-Based Process Discovery for Hierarchical Block Detection and Incomplete Concurrent Relationship Handling,1,0,Extending Graph-Based Process Discovery for Hierarchical Block Detection and Incomplete Concurrent Relationship Handling,1,0,Improving efficiency for discovering business processes containing invisible tasks in non-free choice
59,"by identifying Enterprise Goals corre- lated with the Balanced Scorecard Financial. Then, Alignment Goals related to these Enterprise Goals were mapped. Subse- quently, Management Objectives from the COBIT Core Model associated with Alignment Goals were identified. Examples of these mappings are shown in TABLE I. Following this, Activ- ities and their descriptions were compiled for each Manage- ment Objective, based on COBIT guidelines, as demonstrated in TABLE II. A total of 1202 activities were found to correlate with the Balanced Scorecard Financial perspective during the mapping process. B. Create Graph Database After the completion of the Mapping process, the next step is to create nodes and their relationships using Neo4J Graph Database Tools, in order to construct a Knowledge Graph",1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods
60,"IX, it can serve as an internal reference for the company to assess its capability to meet these criteria and can also serve as a reference for formulating policies to prioritize the implementation of these activities in the future. V. CONCLUSION V. CONCLUSION In conclusion, the developed Activity Recommendation System based on COBIT 2019 framework offers a practical solution to the challenges faced by auditors in identifying and aligning activities with company strategy. By leveraging NLP techniques and graph queries, the system efficiently matches user input of company strategy with relevant activities automatically, eliminating the need for manual navigation through COBIT 2019 guidelines. The effectiveness of the system was demonstrated by in- putting company strategies from three companies in different",1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods
61,"the system efficiently matches user input of company strategy with relevant activities automatically, eliminating the need for manual navigation through COBIT 2019 guidelines. The effectiveness of the system was demonstrated by in- putting company strategies from three companies in different sectors. The system provided a list of recommended activities that can be undertaken to achieve strategic objectives of each companies. Moving forward, there are opportunities to enhance and refine the system to improve both the accuracy of the rec- ommendations and the user experience, ensuring its continued utility and influence in enterprise governance and audit man- agement. Future upgrades could focus on enhancing the user interface to accommodate users with less technical expertise and improving the integration of the proposed",1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,1,0,A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods
62,"whereas 27 chops had quality defects. B. Volatile Organic Compounds Identification Through Chromatography-Mass Spectrometry (GC-MS), it was found that there were 143 VOCs in the good-quality sample and 118 VOCs in the quality-defect sample. Then it also obtained that there were 102 similar compounds present Fig. 4. Number of Compounds in Each Classes Fig. 5. Percentage of Area of Compounds in Each Classes in both sample 1 and sample 2, which are detailed in TABLE II. The results of grouping chemical substances into several groups, including nitrogenous compounds, alcohols, esters, hydrocarbons, hetero- oxygenates, and others. Substance content in each class of compounds means that different concentrations are shown as Area as shown in TABLE II. aldehydes, phenols, ketones, In GC-MS,",1,0,Use of Electronic Nose to Identify Levels of Cooking Cookies,1,0,Use of Electronic Nose to Identify Levels of Cooking Cookies,1,0,Use of Electronic Nose to Identify Levels of Cooking Cookies
63,"Recall or sensitivity is the number of true positive predictions compared to all true positive data. Precision is the number of positive results compared to all positive predicted data. F-Score is the average precision and recall compared to weighting. Speciﬁcity is the number of true negative predictions compared to all negative data. Equations 15 to 19 are used to calculate these metrics. In addition to these metrics, the measurement of model performance evaluation also uses Receiver Operating Characteristics (ROC) and Area Under Curve (AUC). ROC is a probability curve and AUC is an area that shows the level of accuracy of the model empirically. The classiﬁcation results show poor performance if the ROC Curve is close to the baseline and",1,0,GFF-CARVING Graph Feature Fusion for the Recognition of Highly Varying and Complex Balinese Carving Motifs,1,0,Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2,1,0,Multi-class Oil Palm Trees Condition Detection from UAV Images using Faster R-CNN with EfficientNetV2
64,"forming non-overlapping sub- arrays within the array , naturally limiting the achievable beamwidth of each beam and making inefﬁcient use of the available aperture. A third option can be taken by arranging the array into partially or fully overlapping subarrays coupled with the use of orthogonal waveforms, each associated to a generated beam, a solution belonging to the class of the multi- input multi-output (MIMO) radars discussed below. MIMO radars have developed into a strong contender for multi-antenna radar systems, applying the concept of virtual sensors with orthogonal waveform diversity –. Our interest in MIMO radars in relevance to the problem at hand arises due to their capability to produce multiple orthog- onal beams by selecting an appropriate set of",1,0,FPMIMO A General MIMO Structure With Overlapping Subarrays for Various Radar Applications,1,0,FPMIMO A General MIMO Structure With Overlapping Subarrays for Various Radar Applications,1,0,FPMIMO A General MIMO Structure With Overlapping Subarrays for Various Radar Applications
65,"of the Golay codes to orthogonalization of different symbols in a frame in the same beam. Doppler detection can further be accomplished by transmitting a frame of symbols repeatedly for several times, thus allowing the receiver to detect the changes in phase along different frames. The realization of such multi-beam radars that adopts the CC-OFDM MIMO concept also allows for application of further signal process- ing, such as monopulse processing to determine the angular direction of the target more accurately, but this is beyond the scope of our paper. The CC-OFDM MIMO concept presents a breakthrough in the realization of multi-beam radar in a way that has not been tried before, combining different strategies in a novel way to obtain",1,0,Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar,1,0,Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar,1,0,Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar
66,"signal is circulated from one antenna element to another with a relatively small time-delay differ- ence ((cid:49)t), made possible by circulating codes (CC) , , . Hence the transmit signal from the p-th element for a transmit antenna array with an odd number of elements, Nt , can be written as: xp(t) = x(t − p(cid:49)t), Nt − 1 , . . . , Nt − 1 (1) The time delay difference of the circulating signal corre- sponds to a phase difference between the antenna elements at a given frequency: (cid:49)ϕ = 2πf (cid:49)t (2) It means that the phase steering that is usually provided by a phase shifter at each antenna element now can be realized directly in the",1,0,Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar,1,0,Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar,1,0,Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar
67,"the high PAPR of the OFDM signal. If orthogonal codes are given to successive OFDM symbols, it could also provide orthogonality between 53684 VOLUME 10, 2022 D. Kuswidiastuti et al.: Transmitter Design for Multibeam CC-OFDM Azimuth Scanning MIMO Radar the OFDM symbols, which in turn can extend the maxi- mum unambiguous range of the radar. The orthogonalities between OFDM subcarriers and between OFDM symbols allow OFDM radar to produce a range and Doppler proﬁle independent from each other . This is one of the advan- tages of using OFDM instead of LFM as radar waveform. The above considerations motivate the development of digitally generated beam steering without phase shifter, by providing phase control of the signal directly from waveform generation",1,0,Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar,1,0,Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar,1,0,Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar
